guid,geom,x,y,is_experience,image_name,route_id,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation,pos_neg,tags
1518,0101000020E6100000B9052895A89F53C090DDC124EA13CABF,-78.494664467892,-0.203732746074575,f,,C22-RO02,2658.492851768,18.131041515,1,residential,22.525756388,1,5.676307552,0,72.423529759,0,169.617656896,0,1004.390886846,0,550.543615749,339.70986987,4,6.366840347,0,279.564991295,0,101.964295312,0,116.905814641,1,32.26812628,0.085885139,0,84.784345765,comercial,0,100.25165635,89.9691619873047,2794.39208984375,,
1519,0101000020E610000061750A1BA89F53C0FF0FD5898C18CABF,-78.4946353532919,-0.203874175358692,f,,C17-RO01,2650.137824894,30.70356045,1,residential,36.82404867,1,6.277291382,0,58.529618051,0,181.638944672,0,1019.696776805,0,547.371924299,325.906883374,4,11.405837557,0,295.306477461,0,90.356117697,0,127.956092497,1,23.731223843,0.026591649,0,75.851061991,comercial,0,116.173781809,89.9655227661133,2794.4384765625,,
1520,0101000020E61000001962A81FA89F53C00D56AA5AC51EC7BF,-78.494636454045,-0.180626553793147,f,,C19-RO02,4798.077933903,114.582394251,0,primary,325.753144263,0,99.063529588,0,86.101665277,0,129.129376847,0,945.84047509,0,436.145052425,9.963483214,5,24.552302108,0,664.029759669,0,443.256010576,0,169.123204857,0,939.265892935,0.09188634,0,741.70433702,res.medio consum,0,99.789972414,89.9917449951172,2832.2607421875,,
1521,0101000020E6100000CD3279F7A79F53C06F2F73FDB718CABF,-78.4946268733576,-0.203879355196814,f,,C13-RO03,2650.437784377,31.011639268,1,residential,37.258812826,1,6.312842388,0,57.860774474,0,181.70468265,0,1020.174761032,0,548.027999499,324.845998274,4,12.388449395,0,295.893513952,0,89.251203921,0,129.059967753,1,22.745502973,0.023140482,0,76.200620047,comercial,0,116.829374028,89.9655227661133,2794.4384765625,,
1522,0101000020E61000009670B36FA79F53C0AC56FA3C48F7C8BF,-78.4945945026724,-0.195046453260763,f,,C18-RO03,3397.372968268,358.51662168,0,primary,594.930310493,0,248.547517264,5,19.295193109,0,333.592183808,0,104.068554244,0,218.0151176,12.114280648,0,211.265889014,0,562.109798203,0,216.105579208,0,389.545224894,0,180.358777566,0.326394694,0,254.588955328,comercial,0,100.726850056,89.9839706420898,2793.35546875,,
1523,0101000020E6100000A863C63FA79F53C0F407FE734E0FCABF,-78.4945830762287,-0.203592116009588,f,,C12-RO03,2675.794125119,3.341318176,1,residential,5.003648524,1,6.165634869,0,54.356164606,0,151.557978153,0,987.90910612,0,559.402291937,345.537933354,4,23.587473131,0,264.074950744,0,105.945801139,0,117.966394597,1,37.946758358,5.09e-05,0,102.631526593,comercial,0,85.811825331,89.9691619873047,2794.39208984375,,
1524,0101000020E6100000705DF36DA69F53C09F228040CD34C7BF,-78.4945330502139,-0.181298882002257,f,,C18-RO03,4734.554943518,185.067076371,0,primary,254.048178425,0,72.741822543,0,113.920418721,0,200.325227431,0,990.038028021,0,508.303521975,14.004452314,3,39.596693292,0,652.428421255,0,514.049906082,0,168.669695577,0,955.529991484,0.229161561,0,806.600617802,res.medio consum,0,139.930107688,89.9917526245117,2832.26025390625,,
1525,0101000020E61000004DB12859A69F53C09529FDA0230CCABF,-78.494528093089,-0.20349545822894,f,,C06-RO04,2687.613905912,13.066819157,1,residential,8.411081757,1,6.038990984,1,41.992269768,0,139.202932283,0,976.623356488,0,547.599933807,350.092310735,4,35.432633158,0,253.619869899,0,110.390062423,0,118.725559438,1,45.771922837,0.151147494,0,114.873558796,comercial,0,76.75283235,89.9691619873047,2794.39208984375,,
1526,0101000020E61000000A802845A69F53C0786817D6F50BCABF,-78.4945233245382,-0.203489999329409,f,,C25-RO05,2688.416128111,13.794161042,1,residential,9.213311243,1,6.191652957,1,41.200308309,0,138.407145624,0,975.969526067,0,546.79843334,350.247694947,4,36.238128696,0,253.045778974,0,110.568486913,0,118.950062557,1,46.227927384,5.0937e-05,0,115.677721163,comercial,0,76.322250495,89.9691619873047,2794.39208984375,,
1527,0101000020E610000038486AC8A59F53C0D716A9102E0ACABF,-78.49449358348,-0.203435667166721,f,,C04-RO02,2694.968135897,20.575004999,1,residential,15.912499859,1,6.008486823,1,34.316315167,0,131.531752668,0,969.650340864,0,540.271009455,353.063941605,3,42.943153626,0,247.244980847,0,113.696880359,0,119.618141351,0,51.502632212,0.196832934,0,122.49184708,comercial,0,71.665313841,89.9691619873047,2794.39208984375,,
1528,0101000020E610000007FC7AB6A59F53C0A5A44FF69A97CABF,-78.4944893075009,-0.207751627225013,f,,C12-RO01,2391.362608351,234.877849741,0,primary,283.236628191,0,246.80331204,1,12.847744363,0,130.985306904,0,1448.224119448,0,548.062013072,1.115937979,0,96.296730925,0,726.699696003,0,296.460633436,0,197.511571142,0,100.781223329,0.341356535,0,204.322954419,res.medio consum,0,212.761500047,89.8559722900391,2794.68701171875,,
1529,0101000020E6100000D83694B1A59F53C062EEC167FD09CABF,-78.494488138905,-0.203429866469253,f,,C05-RO02,2695.851162252,21.393638997,1,residential,16.794719789,1,6.206974117,1,33.453295122,0,130.663563919,0,968.953471139,0,539.388804404,353.221009437,2,43.827031703,0,246.648667058,0,113.915346048,0,119.948054584,0,52.052210328,5.0919e-05,0,123.371054515,comercial,0,71.281161428,89.9691619873047,2794.39208984375,,
1530,0101000020E61000004B40C6B7A59F53C0D332DF66F409CABF,-78.494489616017,-0.203428793173222,f,,C01-RO04,2695.813744094,21.445832044,1,residential,16.785057847,1,6.004979856,1,33.433847013,0,130.649860049,0,968.849356457,0,539.429045157,353.414665945,2,43.810300163,0,246.516834237,0,114.104015141,0,119.751874493,0,52.193516628,0.202085245,0,123.368159736,comercial,0,71.110206621,89.9691619873047,2794.39208984375,,
